"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"36179067";"Departamento hermoso calle Guemes Plaza Italia";197073548;"Gustavo Agustin";"Palermo";-34.58472;-58.41976;"Entire home/apt";34657.0;2;90;"2024-12-02";1.33;1;180;8
"36180382";"Departamento en NÃºÃ±ez";20535004;"Guadalupe";"NuÃ±ez";-34.5498831;-58.4550387;"Entire home/apt";36758.0;3;7;"2025-01-27";3.13;1;140;7
"36201097";"La Mejor UbicaciÃ³n en Buenos Aires. Cerca de Todo!";266105526;"Claudio";"Palermo";-34.58537;-58.41545;"Entire home/apt";42009.0;3;29;"2020-02-25";0.43;1;29;0
"36232166";"Comodo y confortable departamento en San Telmo";68121196;"Ricardo";"Constitucion";-34.62393;-58.3786;"Entire home/apt";28356.0;3;90;"2025-01-10";1.36;1;364;18
"36235919";"CÃ¡lido y silencioso apartamento en Palermo Soho";42435707;"Belen";"Palermo";-34.58823;-58.42003;"Entire home/apt";30456.0;4;60;"2025-01-11";0.91;2;148;6
"36237635";"Estudio Totalmente Reciclado  âA Estrenarâ";61062174;"Alejandro";"Retiro";-34.59425;-58.38318;"Entire home/apt";31507.0;2;7;"2020-03-13";0.11;2;304;0
"36238263";"Cozy Broadway in Ciudad de Buenos Aires!";139959635;"Nadia";"San Nicolas";-34.60478;-58.38807;"Entire home/apt";20416.0;3;71;"2024-11-02";1.05;1;253;11
"36239398";"CÃ¡lido estudio en San Telmo, la mejor ubicaciÃ³n!";272577330;"NicolÃ¡s Y Carmen";"Constitucion";-34.62159;-58.37851;"Entire home/apt";27380.0;2;74;"2025-01-23";1.09;1;325;10
"36239447";"Hermoso Departamento en barrio Las CaÃ±itas";272575971;"Monica";"Palermo";-34.56685;-58.4366;"Entire home/apt";32105.0;3;39;"2024-01-31";0.57;1;329;1
"36243669";"ApartFlorida3 Frente a Galerias PacÃ­fico";407143;"Osvaldo";"San Nicolas";-34.599659;-58.37545;"Entire home/apt";42009.0;3;9;"2023-03-19";0.13;2;177;0
